Code,Volume,Percent,Openings
47-2022,4.10,29.2,5.60
47-2031,218.20,24.2,329.20
47-2040,11.80,12.3,29.10
47-2041,3.20,8.7,9.80
47-2042,1.90,13.0,4.50
47-2043,0.90,14.8,2.00
47-2044,5.90,15.0,12.90
47-2050,41.70,28.9,58.30
47-2051,41.00,29.1,57.20
47-2053,0.70,19.8,1.10
47-2061,259.80,24.3,489.10
47-2070,78.20,19.1,164.80
47-2071,10.80,19.7,18.70
47-2072,1.00,27.5,1.70
47-2073,66.40,18.9,144.40
47-2080,17.90,15.7,28.70
47-2081,15.10,15.9,24.10
47-2082,2.90,14.8,4.70
47-2111,114.70,19.7,224.60
47-2121,8.00,17.2,19.10
47-2130,19.60,37.6,26.50
47-2131,6.10,26.2,9.20
47-2132,13.50,46.7,17.30
47-2140,62.60,19.6,111.10
47-2141,62.60,19.8,110.50
47-2142,0.00,-0.5,0.60
47-2150,92.50,21.2,146.60
47-2151,10.10,20.8,16.10
47-2152,82.30,21.3,130.50
47-2161,3.40,15.0,4.50
47-2171,3.60,23.1,6.20
47-2181,15.20,11.4,42.90
47-2211,22.00,15.5,48.90
47-2221,12.70,21.8,31.50
47-2231,1.20,24.5,2.00
47-3000,65.30,30.6,98.80
47-3011,10.50,43.0,14.30
47-3012,10.80,29.6,16.40
47-3013,22.40,36.9,32.00
47-3014,1.10,10.2,2.90
47-3015,13.20,27.9,20.70
47-3016,2.10,17.3,3.90
47-3019,5.20,24.3,8.60
47-4000,51.50,12.5,130.70
47-4011,12.50,12.2,36.70
47-4021,4.80,24.6,8.00
47-4031,7.50,30.0,13.30
47-4041,5.30,14.2,13.40
47-4051,8.40,5.7,30.30
47-4061,0.90,5.2,4.50
47-4071,6.60,25.8,11.90
47-4090,5.50,14.5,12.40
47-4091,0.70,38.1,1.00
47-4099,4.80,13.4,11.40
47-5000,43.70,16.4,126.10
47-5010,21.50,19.9,65.20
47-5011,4.30,18.8,13.50
47-5012,4.80,18.6,15.40
47-5013,12.40,20.9,36.40
47-5021,3.80,19.2,9.00
47-5031,0.30,5.2,2.10
47-5040,0.20,0.8,4.70
47-5041,-0.10,-0.6,2.60
47-5042,0.20,2.7,1.50
47-5049,0.10,2.7,0.60
47-5051,0.80,17.4,1.40
