OCC_CODE,sal2012
51-3011,23140
51-3020,24420
51-3021,28490
51-3022,22830
51-3023,24330
51-3090,25780
51-3091,28430
51-3092,26550
51-3093,26350
51-3099,23140
51-4000,35380
51-4010,36760
51-4011,35580
51-4012,45920
51-4020,33900
51-4021,32330
51-4022,34060
51-4023,37390
51-4030,31470
51-4031,29690
51-4032,33940
51-4033,31620
51-4034,36540
51-4035,35820
51-4040,39500
51-4041,39500
51-4050,37180
51-4051,38900
51-4052,34060
51-4060,44340
51-4061,45850
51-4062,42440
51-4070,28800
51-4071,30540
51-4072,28630
51-4080,33960
51-4081,33960
51-4110,47000
51-4111,47000
51-4120,36090
51-4121,36300
51-4122,34720
51-4190,32700
51-4191,34010
51-4192,42050
51-4193,29720
51-4194,34300
51-4199,31060
51-5100,34100
51-5110,34100
51-5111,37260
51-5112,34690
51-5113,29750
51-6000,22000
51-6010,19930
51-6011,19930
51-6020,19670
51-6021,19670
51-6030,21270
51-6031,21270
51-6040,24050
51-6041,23950
51-6042,24310
51-6050,25390
51-6051,22820
51-6052,26280
51-6060,25520
51-6061,24210
51-6062,24050
51-6063,26540
51-6064,25850
51-6090,30220
51-6091,32430
51-6092,38650
51-6093,29930
51-6099,25930
51-7000,28440
51-7010,30980
51-7011,30980
51-7020,28500
51-7021,28500
51-7030,32890
51-7031,28800
51-7032,39840
51-7040,26730
51-7041,26190
51-7042,27030
51-7090,27360
51-7099,27360
51-8000,53820
51-8010,68230
51-8011,74990
51-8012,71690
51-8013,66130
51-8020,53560
51-8021,53560
51-8030,42760
51-8031,42760
51-8090,57980
51-8091,54390
51-8092,61140
51-8093,61850
51-8099,53130
51-9000,29330
51-9010,43280
51-9011,47100
51-9012,38570
51-9020,32290
51-9021,31830
51-9022,27890
51-9023,33840
51-9030,30000
51-9031,24530
51-9032,31430
51-9040,31310
51-9041,31310
51-9050,35530
51-9051,35530
51-9060,34460
51-9061,34460
51-9070,35350
51-9071,35350
51-9080,33070
51-9081,36090
51-9082,36100
51-9083,28590
51-9110,25860
51-9111,25860
51-9120,32850
51-9121,30530
51-9122,39600
51-9123,27790
51-9140,33020
51-9141,33020
51-9150,23120
51-9151,23120
51-9190,25290
51-9191,29830
51-9192,26210
51-9193,28200
51-9194,28390
51-9195,29300
51-9196,34690
51-9197,41210
51-9198,22810
51-9199,26940
53-0000,28960
53-1000,48910
53-1010,47930
53-1011,47930
53-1020,45180
53-1021,45180
53-1030,53240
53-1031,53240
53-2000,68210
53-2010,98410
53-2011,114200
53-2012,73280
53-2020,102490
53-2021,122530
53-2022,48080
53-2030,37240
53-2031,37240
53-3000,32800
53-3010,23440
53-3011,23440
53-3020,29550
53-3021,36600
53-3022,28080
53-3030,34550
53-3031,22670
53-3032,38200
53-3033,29390
53-3040,22820
53-3041,22820
53-3090,26930
53-3099,26930
53-4000,52910
53-4010,50860
53-4011,52280
53-4012,44920
53-4013,41230
53-4020,51340
53-4021,51340
53-4030,54700
53-4031,54700
53-4040,62730
53-4041,62730
53-4090,55080
53-4099,55080
53-5000,48980
53-5010,38190
53-5011,38190
53-5020,62640
53-5021,66150
53-5022,35190
53-5030,70890
53-5031,70890
53-6000,21600
53-6010,45940
53-6011,45940
53-6020,19540
53-6021,19540
53-6030,20140
53-6031,20140
53-6040,38380
53-6041,38380
53-6050,63680
53-6051,63680
53-6060,21490
53-6061,21490
53-6090,30870
53-6099,30870
53-7000,24230
53-7010,29610
53-7011,29610
53-7020,47290
53-7021,47290
53-7030,38960
53-7031,37170
53-7032,38290
53-7033,48420
53-7040,39960
53-7041,39960
53-7050,30220
53-7051,30220
53-7060,22770
53-7061,19850
53-7062,23890
53-7063,27120
53-7064,19910
53-7070,46240
53-7071,51150
53-7072,44610
53-7073,45690
53-7080,32930
53-7081,32930
53-7110,52110
53-7111,52110
53-7120,44100
53-7121,44100
53-7190,37320
53-7199,37320
